idmovies;title; year; number; location; language
491;Talk to Me, Ginger!;2015;null;null;null
492;The Blacklist;2013;null;null;null
493;The Edge of Night;1956;null;null;null
495;The Last Precinct;1986;null;null;null
494;The Guiding Light;1952;null;null;null
496;The Parkers;1999;null;null;null
497;The Robert Guillaume Show;1989;null;null;null
498;The Royal Family;1991;null;null;null
499;The Wayans Bros.;1995;null;null;null
500;Veronica's Closet;1997;null;null;null
501;What's Happening Now!;1985;null;null;null
502;Anna and the Country;2015;null;null;null
503;Pension Hommeles;1957;null;null;null
504;Lang Leve de Achterhoek;2015;null;null;null
505;El mourabbi;2007;null;null;null
507;Chasing Mood;2010;null;null;null
506;Skinny Love;2016;null;null;null
508;El comisario;1999;null;null;null
509;Dil Aur Duniya;1971;null;null;null
510;Mirza Jat;1967;null;null;null
511;Sher Khan;1981;null;null;null
512;A Good Year;2006;null;null;null
513;Bike Squad;2008;null;null;null
514;Diverted;2009;null;null;null
515;A Touch of Frost;1992;null;null;null
516;Casualty @ Holby City;2005;null;null;null
517;Doctors;2000;null;null;null
518;EastEnders;1985;null;null;null
519;Five Days;2007;null;null;null
520;Hollyoaks;1995;null;null;null
521;If...;2004;null;null;null
522;Life Isn't All Ha Ha Hee Hee;2005;null;null;null
525;Silent Witness;1996;null;null;null
526;Spooks;2002;null;null;null
524;Scott & Bailey;2011;null;null;null
523;Outnumbered;2007;null;null;null
527;Taggart;1983;null;null;null
528;Torchwood;2006;null;null;null
529;Whitechapel;2009;null;null;null
530;Wolfblood;2012;null;null;null
532;Aasoo Billa;1971;null;null;null
531;Elu keset linna;2012;null;null;null
533;Aj Da Mahinwal;1973;null;null;null
534;Andaleeb;1969;null;null;null
535;Anhoni;1973;null;null;null
536;Asli Te Naqli;1975;null;null;null
538;Badla;1968;null;null;null
537;Babul;1971;null;null;null
539;Basheera;1972;null;null;null
540;Chann Sajna;1970;null;null;null
541;Daman Aur Chingari;1973;null;null;null
542;Dara;1968;null;null;null
543;Dastan;1969;null;null;null
544;Des Mera Jeedaraa Da;1971;null;null;null
545;Dhee rani;1969;null;null;null
547;Eid Da Chann;1972;null;null;null
548;Genterman;1969;null;null;null
546;Do Pattar Annaran De;1972;null;null;null
549;Heera;1972;null;null;null
550;Heera Moti;1972;null;null;null
551;Ik Sona Ik Mitti;1970;null;null;null
552;Insaan Ik Tamasha;1972;null;null;null
553;Ishq Deevana;1971;null;null;null
554;Jangu;1972;null;null;null
555;Khan Chacha;1972;null;null;null
556;Khazanchi;1971;null;null;null
557;Khota Paisa;1965;null;null;null
558;Mastana Mahi;1971;null;null;null
559;Maula Jat;1979;null;null;null
560;Meri Dharti Mera Pyar;1970;null;null;null
561;Morcha;1972;null;null;null
562;Naajo;1969;null;null;null
563;Night Club;1971;null;null;null
564;Nizam;1972;null;null;null
565;Patola;1972;null;null;null
566;Pind Deleran Da;1973;null;null;null
567;Pyar Na Mane Har;1971;null;null;null
568;Qadra;1970;null;null;null
569;Raja Rani;1971;null;null;null
570;Rub Di Shaan;1970;null;null;null
571;Sajawal;1971;null;null;null
572;Samundar Par;1983;null;null;null
573;Sassi Punnu;1968;null;null;null
574;Shabistan;1969;null;null;null
575;Shola Aur Shabnam;1967;null;null;null
576;Sir Dhar Di Bazi;1972;null;null;null
577;Sultan;1972;null;null;null
578;Taj Mahal;1968;null;null;null
579;Taqatwar;1988;null;null;null
580;Taxi Driver;1970;null;null;null
581;Ultimatum;1976;null;null;null
582;Yamla Jatt;1969;null;null;null
583;'Romeo Must Die' Movie Special;2000;null;null;null
585;2000 MTV Movie Awards;2000;null;null;null
584;101 Most Shocking Moments in Entertainment;2003;null;null;null
586;2001 MTV Movie Awards;2001;null;null;null
587;Aaliyah: Making of 'Journey to the Past';2006;null;null;null
588;Aaliyah: Rock the Boat;2001;null;null;null
589;Aaliyah: So Much More Than a Woman;2004;null;null;null
590;BET Tonight Special: Aaliyah;2001;null;null;null
592;Essence Awards;2001;null;null;null
591;Christmas in Washington;1997;null;null;null
593;Hip-Hop VIPs;2002;null;null;null
594;I Care 4 U: Bonus DVD;2002;null;null;null
595;Losing Aaliyah;2001;null;null;null
596;MTV 20: Live & Almost Legal;2001;null;null;null
597;MTV Icon: Janet Jackson;2001;null;null;null
598;MTV New Year's Eve 1998;1998;null;null;null
599;MTV Video Music Awards 2000;2000;null;null;null
600;MTV20: Everybody Talk About Pop Music!;2001;null;null;null
601;Queen of the Damned;2002;null;null;null
602;R&B's Lost Souls: Aaliyah & Lisa 'Left Eye' Lopes;2011;null;null;null
603;Rock da Boat;2001;null;null;null
604;Romeo Must Die;2000;null;null;null
605;The 21 Hottest Stars Under 21;1999;null;null;null
606;The 70th Annual Academy Awards;1998;null;null;null
607;The 74th Annual Academy Awards;2002;null;null;null
608;The Burly Man Chronicles;2004;null;null;null
609;The Gift of Song;1997;null;null;null
610;The Magical Journey of 'Anastasia';1997;null;null;null
611;The Making of 'Romeo Must Die';2000;null;null;null
612;The Notorious B.I.G.: Ready to Die - The Remaster;2004;null;null;null
613;The Teen Choice Awards 2000;2000;null;null;null
614;Behind the Music;1997;null;null;null
615;CNN World Beat;1998;null;null;null
616;Entertainment Tonight;1981;null;null;null
617;HBO First Look;1992;null;null;null
618;Live with Regis and Kathie Lee;1988;null;null;null
619;MTV Jams;1996;null;null;null
620;New York Undercover;1994;null;null;null
621;The Tonight Show with Jay Leno;1992;null;null;null
622;The Word;1990;null;null;null
623;Street Blowjobs;2002;null;null;null
624;The Mim Rose;2000;null;null;null
625;ATK Solo Sensations Vol 1;2010;null;null;null
626;Hvorfor har mnd magten?;2004;null;null;null
627;Jumalan kaikki oikut;2006;null;null;null
628;Dak Bangla;1987;null;null;null
629;Haveli;1985;null;null;null
630;Raja Aur Rana;1984;null;null;null
631;Pako todellisuuteen;2012;null;null;null
632;Pid huivista kiinni, Tatjana;1994;null;null;null
633;Mit meist tuli;2009;null;null;null
634;Kaappari;2013;null;null;null
635;Talvisota;1989;null;null;null
636;Pieni rakkaustarina;2004;null;null;null
637;Siamin tytt;2001;null;null;null
638;Alvar Aalto;1972;null;null;null
639;Alvar Aalto, tekniikka ja luonto;1987;null;null;null
640;Pro arte utili;1980;null;null;null
641;Graffiti meiss;2006;null;null;null
642;Katarina kaunis leski;1950;null;null;null
643;Natalia;1979;null;null;null
644;Uudesta luotava maa;1974;null;null;null
645;Nuotin vierest;2016;null;null;null
646;Vares - Sheriffi;2015;null;null;null
647;Palkkasoturi;1997;null;null;null
648;Kyyti Moosekselle;2001;null;null;null
649;Sibelius;2003;null;null;null
650;Seikkailu Olavinlinnassa;1978;null;null;null
651;Tuttu juttu;1992;null;null;null
652;Lukio_;2008;null;null;null
653;Marja-Sisko;2010;null;null;null
654;Maria!;2008;null;null;null
655;Kaunis mies;2003;null;null;null
656;Thdet ovat vrin;2010;null;null;null
657;Eevan luokka;1986;null;null;null
658;Ihon alla;2015;null;null;null
659;Maleena;2008;null;null;null
660;Muuttolintu;1975;null;null;null
661;Pois alta akkavalta;1972;null;null;null
663;Big Bang!;2015;null;null;null
662;Kansallisaarre;2010;null;null;null
664;Eurovision laulukilpailu 2011 - Suomen Karsinta;2011;null;null;null
665;Huomenta Suomi;1989;null;null;null
666;Puoli seitsemn;2009;null;null;null
667;Tuubi;2014;null;null;null
668;Kohtaamisia;2009;null;null;null
669;Kauhun millimetrit;1992;null;null;null
670;Frank Pappa Show;1991;null;null;null
671;Ella ja kaverit 2 - Paterock;2013;null;null;null
672;Siskonpeti;2014;null;null;null
673;Is meidn;1993;null;null;null
674;Harvoin tarjolla;2008;null;null;null
675;Naisia kaupungilla;2010;null;null;null
677;Akseli ja Elina;1970;null;null;null
676;Remu & Hurriganes: Oowee-Oohla;2007;null;null;null
678;Hn varasti elmn;1962;null;null;null
679;Ihana seikkailu;1962;null;null;null
680;Jengi;1963;null;null;null
681;Naiset, jotka minulle annoit;1962;null;null;null
682;Pojat;1962;null;null;null
683;Turkasen tenava!;1963;null;null;null
684;Liian iso keikka;1986;null;null;null
685;Uuno Epsanjassa;1985;null;null;null
686;Kujanjuoksu;1971;null;null;null
687;Taking the Waewae Express;2008;null;null;null
689;Luokkakokous;2015;null;null;null
688;The Investigator;2009;null;null;null
690;MP - min pelkn;1982;null;null;null
691;Laulu Sipirjan lapsista;1973;null;null;null
692;Punatukka;1969;null;null;null
693;Yhdeksn runoa;1959;null;null;null
694;Kadunlakaisijat;1991;null;null;null
696;Porttikielto taivaaseen;1990;null;null;null
695;Kauas pilvet karkaavat;1996;null;null;null
698;Tomorrow Never Dies;1997;null;null;null
697;The World of Hemingway;2012;null;null;null
699;Vpeli Krmy ja vetenalaiset vehkeet;1991;null;null;null
700;idin tytt;1993;null;null;null
701;Dream Team;1997;null;null;null
702;Gladiaattorit;1994;null;null;null
703;Kotikatu;1995;null;null;null
704;Lexx;1997;null;null;null
705;London's Burning;1988;null;null;null
706;Viimeinen keikka;1984;null;null;null
707;Bunny the Killer Thing;2015;null;null;null
708;Somniare;2013;null;null;null
709;Speden spelit;1992;null;null;null
710;Unohdettu kieli;2014;null;null;null
711;Sinikukallinen nekka;1978;null;null;null
712;Ukkovarvas;1977;null;null;null
714;70-luvun sekahaku;2005;null;null;null
715;Kymppitonni;1985;null;null;null
713;Villahousupakko;1977;null;null;null
716;Leikin varjolla;2002;null;null;null
717;Uutisvuoto;1998;null;null;null
718;Pikku naisia;1991;null;null;null
719;Tilinteko;1987;null;null;null
720;Tahroja;2008;null;null;null
721;4-stjerners middag;2010;null;null;null
722;Det modsatte kn;2004;null;null;null
723;Elevator Bluff;2002;null;null;null
724;Go' aften Danmark;2002;null;null;null
725;Helge & Bernhard;2003;null;null;null
726;Jul i juleland;1993;null;null;null
727;Meyerheim;2006;null;null;null
728;Mnd ingen adgang;1995;null;null;null
730;Pernilles univers;1998;null;null;null
731;P eventyr med Pernille;1997;null;null;null
729;Perforama;2002;null;null;null
732;QTV;2006;null;null;null
734;Ushi Heiku;2002;null;null;null
733;Temptation Island;2002;2;null;null
735;Vis mig dit kleskab;1993;null;null;null
736;Grimm;2011;null;null;null
737;Song.null.drei;2003;null;null;null
738;Peva lpus;2009;null;null;null
739;Aa Naluguru;2004;null;null;null
741;Anna Chellelu;1993;null;null;null
740;Allari Police;1994;null;null;null
742;Baap ji;1996;null;null;null
744;Hello Brother;1994;null;null;null
743;Chandamama Kathalu;2014;null;null;null
745;Hello Guru;1996;null;null;null
746;Jamba Lakidi Pamba;1993;null;null;null
747;Kannaya-Kittaya;1993;null;null;null
748;Maavichiguru;1996;null;null;null
749;Madyahnapu Hatya;2004;null;null;null
750;Maya Bazaar;1995;null;null;null
751;Mr. Pellam;1993;null;null;null
752;Pachani Samsaram;1992;null;null;null
753;Preme Naa Pranam;1993;null;null;null
754;Priyamainasrivaaru;1997;null;null;null
755;Repati Rowdy;1993;null;null;null
756;Shabash Ramu;1993;null;null;null
757;Shrinatha Kavi Sarvabhowma;1993;null;null;null
758;Shubhalagnam;1994;null;null;null
759;Srivari Priyuralu;1994;null;null;null
760;Subha Sankalpam;1995;null;null;null
761;Subhamasthu;1995;null;null;null
762;Swamy;2004;null;null;null
763;Theerpu;1994;null;null;null
764;Vammo Vathoo O Pellamoo;1997;null;null;null
765;Warning;1997;null;null;null
766;Gagarin - en romfartsopera;1991;null;null;null
768;Bachelor Party;1984;null;null;null
769;Basic Training;1985;null;null;null
767;...All the Marbles;1981;null;null;null
770;Boxoffice;1982;null;null;null
771;Charlie and the Great Balloon Chase;1981;null;null;null
772;Chopping Mall;1986;null;null;null
773;Fairy Tales;1978;null;null;null
774;Famous T & A;1982;null;null;null
775;Flex;1988;null;null;null
776;Focus on Fishko;1983;null;null;null
777;H.O.T.S.;1979;null;null;null
778;Likely Stories, Vol. 4;1983;null;null;null
779;Scarface;1983;null;null;null
780;Setting the Bar: A Conversation with Ted Danson;2003;null;null;null
781;The Best of Sex and Violence;1981;null;null;null
782;The Comeback Kid;1980;null;null;null
783;The Cracker Brothers;1985;null;null;null
784;The Lost Empire;1984;null;null;null
785;The Perfect Woman;1981;null;null;null
786;This Year's Blonde;1980;null;null;null
787;Angie;1979;null;null;null
788;Automan;1983;null;null;null
789;B.J. and the Bear;1978;null;null;null
790;Brothers;1984;null;null;null
791;Cheers;1982;null;null;null
792;Hardcastle and McCormick;1983;null;null;null
793;Hill Street Blues;1981;null;null;null
794;Mork & Mindy;1978;null;null;null
795;Night Court;1984;null;null;null
796;The Dom DeLuise Show;1987;null;null;null
797;The Fall Guy;1981;null;null;null
798;The Love Boat;1977;null;null;null
799;Along the Navajo Trail;1945;1;null;null
800;The Best Years of Our Lives;1946;null;null;null
801;The Big Clock;1948;null;null;null
802;The Juggler;1953;null;null;null
803;The Time of Your Life;1948;null;null;null
804;Girls Gone Black 2;2003;null;null;null
805;Naalu Mazhapaatakal;2009;null;null;null
806;Half My Faith, All My Struggle;2015;null;null;null
807;Nestle Nido Young Stars aka Nido Ye Tare Hamare;2008;null;null;null
808;On the Ice;2011;null;null;null
809;Team Antonsen;2004;null;null;null
810;Och stjrnans namn var malrt;1996;null;null;null
811;Kampen for tilvrelsen;2014;null;null;null
812;Good and Evil;1916;null;null;null
813;The Crest of Von Endheim;1915;null;null;null
814;The Law of Duty;1915;null;null;null
815;The Little Gray Lady;1914;null;null;null
816;The Wayward Son;1915;null;null;null
818;Med krlig hilsen;1999;null;null;null
819;Autograf;2008;null;null;null
817;Krlighed og smerte - portrt af forfatteren Jane Aamund;1997;null;null;null
820;Julekrybben: Helligaandskirken;2004;null;null;null
821;TV2/Lorry;1989;null;null;null
822;Looking for America: A Saipan Story;2007;null;null;null
823;Hawayein;2003;null;null;null
824;Namastey London;2007;null;null;null
825;Kacha Ghotay;1999;null;null;null
826;Chaos in Gotham: The Uninvited Guest;2008;null;null;null
828;A Life Beyond;2007;null;null;null
827;A Fallen Glass;2010;null;null;null
829;Delivering the Goods;2012;null;null;null
830;Detail Man;2009;null;null;null
831;Going Local;2012;null;null;null
832;Lullaby;2009;3;null;null
833;Ribbons;2010;1;null;null
834;Withholding;2011;null;null;null
835;P.O.V.;1988;null;null;null
836;Pusher II;2004;null;null;null
837;Nachtcaf;1987;null;null;null
838;A Fighter Pilot's Story;1993;null;null;null
839;Flyskrekk;2015;null;null;null
841;Love You Hamesha;2015;null;null;null
840;Soullam ila Dimashk;2013;null;null;null
842;Parachute to Paradise;1972;null;null;null
843;Hotel Csar;1998;null;null;null
844;The Road to Canterbury;1967;null;null;null
845;Choti Si Kahani;2011;null;null;null
847;Tissit;2014;null;null;null
846;3 Simoa;2012;null;null;null
848;Parasta aikaa;2009;null;null;null
849;Prem Karuya Khullam Khulla;1987;null;null;null
850;Al Warda Al Hamraa';1999;null;null;null
851;Al-Amil 77;1969;null;null;null
852;Al-bahth an fadiha;1973;null;null;null
853;Al-Regala Fi Khatar;1993;null;null;null
854;Gedaan Bab El-Shareya;1993;null;null;null
855;Khally Balak Men Azouz;1992;null;null;null
856;Shaaban Taht El-Sifr;1980;null;null;null
857;Zoj taht al-talab;1985;null;null;null
858;Omega Cop;1990;null;null;null
859;Citizen X;2007;null;null;null
860;Vertshuset den gyldne hale;1989;null;null;null
861;Kidz Bop: Everyone's a Star!;2003;null;null;null
862;Words;2008;null;null;null
863;Rosamunde Pilcher;1993;null;null;null
864;Death Race 4;2016;null;null;null
865;South of the River;null;null;null;null
866;Subway Breakfast Ad: My Sub, My Way - Feat. Bruce Not With It (UK 50);2013;null;null;null
867;The Real Thing;null;null;null;null
868;Wanderlust;2016;2;null;null
869;Zjoek: De kunst van het vergeten;1987;null;null;null
870;Tales of a Highway;2007;null;null;null
871;15th Annual Miss Teen USA Pageant;1997;null;null;null
872;Bob Dylan: Beyond Here Lies Nothin';2009;null;null;null
873;Dough Boys;2009;null;null;null
874;Hyenas;2011;null;null;null
875;Just Like Family;2009;null;null;null
876;Moose on the Loose II;2016;null;null;null
877;Orlando's Bed and Breakfast;2007;null;null;null
878;Table One;2000;null;null;null
879;The Kings of Brooklyn;2004;null;null;null
880;They Are Coming: The Prologue;2010;null;null;null
881;Whatever Happened to Barker Daniels?;2009;null;null;null
882;CSI: Crime Scene Investigation;2000;null;null;null
883;Days of Our Lives;1965;null;null;null
884;Judging Amy;1999;null;null;null
885;Poop Notice;2013;null;null;null
886;Temptation;2007;null;null;null
887;The Perfect Mistress II;null;null;null;null
888;The Perfect Mistress III;2017;null;null;null
889;Magnus;2007;null;null;null
890;Klass - Elu prast;2010;null;null;null
891;Kttemaksukontor;2009;null;null;null
892;Teddy;2009;2;null;null
893;Hvem vil vre millionr?;1999;null;null;null
894;Spies & Glistrup;2013;null;null;null
895;War Room;2015;null;null;null
896;Say My Name;2009;1;null;null
897;Raja;2003;null;null;null
898;Spektroliittia, bromidioksidia, ruusukvartsia...;1958;null;null;null
899;Nettikymppitonni;2000;null;null;null
900;Hulluna Saraan;2012;null;null;null
901;My Brother;2006;null;null;null
902;Stuck;2003;2;null;null
903;Paradeshi Chadhei;1990;null;null;null
904;Presumed Innocent;1990;null;null;null
905;Quick Change;1990;null;null;null
906;The 42nd Annual Tony Awards;1988;null;null;null
907;The Bonfire of the Vanities;1990;null;null;null
908;The Serpent and the Rainbow;1988;null;null;null
909;Angel;1999;null;null;null
910;Family Law;1999;null;null;null
911;Drei Vter um Anna;1939;null;null;null
912;Varg Veum - Svarte fr;2011;null;null;null
913;Thurston;2008;null;null;null
914;Sankarit;2002;null;null;null
915;Taivaan tulet;2007;null;null;null
916;Elvis kissan jljill;1987;null;null;null
917;Vappua valtatien varressa;1966;null;null;null
918;A-studio: Stream;2012;null;null;null
919;Ajankohtainen kakkonen;1969;null;null;null
920;Extra Large;2007;null;null;null
921;Popkult;2008;null;null;null
922;Kiimaiset poliisit;1993;null;null;null
923;Jarin Matka;2016;null;null;null
924;BumtsiBum!;1997;null;null;null
926;Joulukalenteri;1985;null;null;null
925;Joulukalenteri;1980;null;null;null
927;Luonnonmukainen rakastaja;1992;null;null;null
928;Homo-Suomen historia;2006;null;null;null
929;Fireworks: Heavyweight;2012;null;null;null
930;My Last Five Girlfriends;2009;null;null;null
931;Til en ukjent;1990;null;null;null
933;Aida;2001;null;null;null
932;Nine O'Clock Folks;1931;null;null;null
934;Go Tell Ricky Scrotum;2010;null;null;null
935;Adjudication;2012;null;null;null
936;Angel of Mars;2011;null;null;null
937;Tiny Things;2014;null;null;null
938;Muscle Hawk: Electric Light;2012;null;null;null
939;Blood Angel;2012;null;null;null
940;Living Hope;2014;null;null;null
941;The Black Connection;1974;null;null;null
942;30 Minutes;1978;null;null;null
943;CBS Evening News with Walter Cronkite;1962;null;null;null
944;The Seventies;2015;null;null;null
945;ESPN SportsCentury;1999;null;null;null
946;Mike and Mike in the Morning;2005;null;null;null
948;2000 Blockbuster Entertainment Awards;2000;null;null;null
947;Happiness;2013;1;null;null
949;21 Jump Street;2012;null;null;null
950;22 Jump Street;2014;null;null;null
951;A Day Without a Mexican;2004;null;null;null
952;A Fine Day for Flying;1999;null;null;null
953;A Modern Affair;1995;null;null;null
954;Alice;1990;null;null;null
955;Along Came Polly;2004;null;null;null
956;Amy's Orgasm;2001;null;null;null
957;An American Daughter;2000;null;null;null
958;Anna;1987;null;null;null
959;Anywhere But Here;1999;null;null;null
960;Baby It's You;1983;null;null;null
961;Beyond the Sea;2004;null;null;null
962;Big Night;1996;null;null;null
963;Bobby's World: The Making of 'Beyond the Sea';2005;null;null;null
964;Bounce;2000;null;null;null
965;Bound & Babysitting;2015;null;null;null
966;Breakable You;2016;null;null;null
967;Call Waiting;2004;null;null;null
968;Cellular;2004;null;null;null
969;Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean;1982;null;null;null
970;Crimes and Misdemeanors;1989;null;null;null
971;Dad, the Angel & Me;1995;null;null;null
972;Dead and Alive: The Race for Gus Farace;1991;null;null;null
973;Deconstructing Harry;1997;null;null;null
974;Dinner and Driving;1997;null;null;null
975;Dying to Live;1999;null;null;null
976;Edward Scissorhands;1990;null;null;null
977;Fallout 4;2015;null;null;null
978;Finding Bliss;2009;null;null;null
979;Grilled;2006;null;null;null
980;Heartburn;1986;null;null;null
981;Hello, My Name Is Doris;2015;null;null;null
982;House Arrest;1996;null;null;null
983;Husbands and Wives;1992;null;null;null
984;Joe Dirt;2001;null;null;null
985;Just Like Heaven;2005;null;null;null
986;Love Comes Lately;2007;null;null;null
987;Love Hurts;2009;1;null;null
988;Lucky Numbers;2000;null;null;null
989;Meeting Spencer;2010;null;null;null
990;Mixed Nuts;1994;null;null;null
991;My First Time Driving;2007;null;null;null
992;Nancy Drew;2007;null;null;null
993;Never Again;2001;null;null;null
994;Nobody's Baby;2001;null;null;null
995;O.C. and Stiggs;1985;null;null;null
996;Our Family Wedding;2010;null;null;null
997;Planes: Fire & Rescue;2014;null;null;null
998;Primary Colors;1998;null;null;null
999;Pumpkin;2002;null;null;null
1000;Revenge of the Middle-Aged Woman;2004;null;null;null
